company_name,experience_required,job_description,job_description_url,job_title,key_skills,location,posted_by,posted_on,salary
Sourcing Valley,0-1 yrs,,https://www.naukri.com/job-listings-Cognizant-IT-In-Data-Analyst-Finance-Process-NON-Voice-For-Fresher-Sourcing-Valley-Delhi-Ghaziabad-Noida-0-to-1-years-200618600558?src=jobsearchDesk&sid=1539017124571&xp=48&px=10,Cognizant IT In Data Analyst Finance Process NON Voice For Fresher,"Finance, Non Voice, back office, back office executive, International Bpo...","Delhi, Ghaziabad, Noida",Mrinal,2018-08-10,"50,000 - 2,00,000 P.A."
Sourcing Valley,0-1 yrs,,https://www.naukri.com/job-listings-Opening-In-Non-Voice-Data-Analyst-For-Fresher-Salary-2-5lakh-In-Google-Sourcing-Valley-Delhi-NCR-Delhi-Gurgaon-Noida-Faridabad-Ghaziabad-0-to-1-years-270718600252?src=jobsearchDesk&sid=1539017124571&xp=49&px=10,Opening In Non Voice Data Analyst For Fresher Salary 2.5lakh In Google,"non voice, data analysis, international call center, fresher...","Delhi NCR, Delhi, Gurgaon, Noida, Faridabad, Ghaziabad",Mrinal,2018-08-10,"50,000 - 3,00,000 P.A."
Prasha Consultancy Services Pvt. Ltd.,10-12 yrs,,https://www.naukri.com/job-listings-Manager-Business-Analyst-Leading-Financial-Services-MNC-Gurgaon-Prasha-Consultancy-Services-Pvt-Ltd-Gurgaon-10-to-12-years-180918010399?src=jobsearchDesk&sid=1539017124571&xp=50&px=10,Manager - Business Analyst / Leading Financial Services MNC / Gurgaon,"business analysis, Business Analyst, Manager Business Analysis...",Gurgaon,Dhiraj,2018-09-18,Not disclosed
,,,,,,,,,
TalentBeacon,4-9 yrs,,https://www.naukri.com/job-listings-Business-Analyst-TalentBeacon-Gurgaon-4-to-9-years-210717501639?src=jobsearchDesk&sid=15390171254888&xp=1&px=11,Business Analyst,"Business Analyst, Unix, Python, Business analysis, Consulting, analytics, ,...",Gurgaon,,2018-08-10,Not disclosed
Capital Placement Services,2-7 yrs,,https://www.naukri.com/job-listings-Mis-Executive-for-Neemrana-Salary-20000-Capital-Placement-Services-Gurgaon-2-to-7-years-200717502124?src=jobsearchDesk&sid=15390171254888&xp=2&px=11,"Mis Executive for Neemrana,Salary 20000.","MIS Reporting, MIS prepration, data Mining, mis coordinator, mis analyst",Gurgaon,,2018-08-10,Not disclosed
Right Step Consulting,3-6 yrs,,https://www.naukri.com/job-listings-Equity-Research-Analyst-Right-Step-Consulting-Gurgaon-Delhi-3-to-6-years-110417501244?src=jobsearchDesk&sid=15390171254888&xp=3&px=11,Equity Research Analyst,"Research Associate, Executive Associate, BPO, Merchandising, Accessories...","Gurgaon, Delhi",,2018-08-10,Not disclosed
ARYAN HR SOLUTIONS,1-3 yrs,,https://www.naukri.com/job-listings-HR-MIS-Executive-1-0year-ARYAN-HR-SOLUTIONS-Mumbai-Gurgaon-1-to-3-years-261017501607?src=jobsearchDesk&sid=15390171254888&xp=4&px=11,HR cum MIS Executive(1.0year),"ERP, MS Data management, MIS, Reports, HR Policies, Recruitment...","Mumbai, Gurgaon",,2018-08-10,Not disclosed
expertiz,2-5 yrs,,https://www.naukri.com/job-listings-Analyst-Consultant-expertiz-Gurgaon-Mumbai-2-to-5-years-241215500079?src=jobsearchDesk&sid=15390171254888&xp=5&px=11,Analyst /  Consultant,"consulting, internal audit, data management, asset management, benchmarking...","Gurgaon, Mumbai",,2018-08-10,Not disclosed
Right Step Consulting,0-5 yrs,,https://www.naukri.com/job-listings-MIS-Executive-in-Noida-Jobs-in-Noida-Executive-Right-Step-Consulting-Noida-0-to-5-years-151117500530?src=jobsearchDesk&sid=15390171254888&xp=6&px=11,MIS Executive in Noida Jobs in Noida - Executive,"MIS Executive, PHP, Data management, Analytical, Claims, Tally, Freight...",Noida,,2018-08-10,Not disclosed
Right Step Consulting,2-5 yrs,,https://www.naukri.com/job-listings-MIS-Jobs-In-Gurgaon-HR-MIS-Executive-Right-Step-Consulting-Gurgaon-Delhi-2-to-5-years-110417501289?src=jobsearchDesk&sid=15390171254888&xp=7&px=11,MIS Jobs In Gurgaon - HR MIS Executive,"ERP, MS Data management, MIS, Reports, HR Policies, Recruitment...","Gurgaon, Delhi",,2018-08-10,Not disclosed
Soft Crayons Tech Solutions,3-8 yrs,,https://www.naukri.com/job-listings-MIS-ADVANCE-EXCEL-Trainer-Soft-Crayons-Tech-Solutions-Ghaziabad-3-to-8-years-140918500465?src=jobsearchDesk&sid=15390171254888&xp=8&px=11,MIS/ADVANCE EXCEL Trainer,"MIS, SQL, Macros, Coding, Data mining, Simulation...",Ghaziabad,,2018-09-14,Not disclosed
Macquarie Global Services Pvt. Ltd.,10-13 yrs,,https://www.naukri.com/job-listings-Vice-President-Finance-Macquarie-Global-Services-Pvt-Ltd-Gurgaon-10-to-13-years-200918502307?src=jobsearchDesk&sid=15390171254888&xp=9&px=11,Vice President - Finance,"Financial reporting, Risk management, Accountancy, ITES, Monitoring...",Gurgaon,,2018-09-20,Not disclosed
Macquarie Global Services Pvt. Ltd.,8-10 yrs,,https://www.naukri.com/job-listings-Manager-Direct-Tax-Macquarie-Global-Services-Pvt-Ltd-Gurgaon-8-to-10-years-170918500485?src=jobsearchDesk&sid=15390171254888&xp=10&px=11,Manager Direct Tax,"Accountancy, Chartered Accountant, Taxation, Budgeting, Direct tax, Balance...",Gurgaon,,2018-09-17,Not disclosed
Numetric Technologies Private Limited,0-6 yrs,,https://www.naukri.com/job-listings-Jr-Business-Analyst-Numetric-Technologies-Private-Limited-Noida-0-to-6-years-121217501682?src=jobsearchDesk&sid=15390171254888&xp=11&px=11,Jr. Business Analyst,"C, Python, Six Sigma, PMP, .NET, HTML, JavaScript, SQL, Oracle...",Noida,,2018-09-11,Not disclosed
Aaj enterprises Pvt ltd,2-5 yrs,,https://www.naukri.com/job-listings-Admin-Manager-Aaj-enterprises-Pvt-ltd-Delhi-Noida-Chandigarh-Greater-Noida-haryana-2-to-5-years-310718500007?src=jobsearchDesk&sid=15390171254888&xp=12&px=11,Admin Manager,"Analytics, Business Analyst, Automation, Supply chain, Forecasting, Process...","Delhi, Noida, Chandigarh, Greater Noida, haryana",,2018-08-10,Not disclosed
Opinia360,2-6 yrs,,https://www.naukri.com/job-listings-Data-Visualizations-and-Analytics-Opinia360-Delhi-2-to-6-years-281217500996?src=jobsearchDesk&sid=15390171254888&xp=13&px=11,Data Visualizations and Analytics,"Database design, Analytics, Manager Quality Control, Data mining...",Delhi,,2018-08-10,Not disclosed
Ferns N Petals Pvt Ltd,6-11 yrs,,https://www.naukri.com/job-listings-Manager-Online-Sales-Ferns-N-Petals-Pvt-Ltd-Delhi-6-to-11-years-280318503290?src=jobsearchDesk&sid=15390171254888&xp=14&px=11,Manager - Online Sales,"BPO, Customer service, Outbound, Telesales, CRM, Service, Telecom...",Delhi,,2018-08-10,Not disclosed
TransOrg Analytics,2-7 yrs,,https://www.naukri.com/job-listings-Analytics-Specialist-TransOrg-Analytics-Gurgaon-Mumbai-2-to-7-years-250917502061?src=jobsearchDesk&sid=15390171254888&xp=15&px=11,Analytics Specialist,"Analytics, Data analysis, Data mining, SQL, Trend analysis...","Gurgaon, Mumbai",,2018-08-10,Not disclosed
Tatras,4-9 yrs,,https://www.naukri.com/job-listings-Data-Scientist-Tatras-Tatras-Delhi-4-to-9-years-220517500493?src=jobsearchDesk&sid=15390171254888&xp=16&px=11,Data Scientist Tatras,"Tools, C++, Email, Data mining, Linux, Unix, Information retrieval...",Delhi,,2018-08-10,Not disclosed
ICCS - Insight Customer Call Solutions Ltd.,3-6 yrs,,https://www.naukri.com/job-listings-MIS-WFM-ICCS-Insight-Customer-Call-Solutions-Ltd-Noida-3-to-6-years-210218500459?src=jobsearchDesk&sid=15390171254888&xp=17&px=11,MIS/WFM,"Customer Service, Help Desk, Information, Telephony support...",Noida,,2018-08-10,Not disclosed
Numetric Technologies,2-5 yrs,,https://www.naukri.com/job-listings-jr-business-analyst-Numetric-Technologies-Noida-2-to-5-years-210217501826?src=jobsearchDesk&sid=15390171254888&xp=18&px=11,jr. business analyst,"Business Analyst, Junior Engineer, Manager Technology, Real estate...",Noida,,2018-08-10,Not disclosed
WellMed Medical Management,7-10 yrs,,https://www.naukri.com/job-listings-Engineering-Manager-Big-Data-with-ETL-WellMed-Medical-Management-Gurgaon-7-to-10-years-180718500374?src=jobsearchDesk&sid=15390171254888&xp=19&px=11,Engineering Manager - Big Data with ETL,"Debugging, Information technology, Manager Quality Control...",Gurgaon,,2018-08-10,Not disclosed
United Health Group Information Services Pvt. Ltd.,12-15 yrs,,https://www.naukri.com/job-listings-Engineering-Manager-Big-Data-with-ETL-United-Health-Group-Information-Services-Pvt-Ltd-Gurgaon-12-to-15-years-180718500327?src=jobsearchDesk&sid=15390171254888&xp=20&px=11,Engineering Manager - Big Data with ETL,"big data, Engineering Manager, SQL, Informatica, Debugging...",Gurgaon,,2018-08-10,Not disclosed
Text100,3-8 yrs,,https://www.naukri.com/job-listings-New-Delhi-Consulting-Public-Relations-Associate-Account-Manager-Text100-Delhi-3-to-8-years-171117501857?src=jobsearchDesk&sid=15390171254888&xp=21&px=11,New Delhi Consulting: Public Relations Associate / Account Manager,"Service, Account management, Consulting, Tools, Public relations...",Delhi,,2018-08-10,Not disclosed
Text100,3-8 yrs,,https://www.naukri.com/job-listings-New-Delhi-Consulting-Public-Relations-Senior-Account-Manager-Text100-Delhi-3-to-8-years-171117501852?src=jobsearchDesk&sid=15390171254888&xp=22&px=11,New Delhi Consulting: Public Relations Senior Account Manager,"Consulting, Public relations, Account management, Social media, Tools...",Delhi,,2018-08-10,Not disclosed
Text100,0-5 yrs,,https://www.naukri.com/job-listings-Account-Executive-New-Delhi-Text100-Delhi-0-to-5-years-171117501851?src=jobsearchDesk&sid=15390171254888&xp=23&px=11,Account Executive New Delhi,"Consulting, Public relations, Service, Social media, People development...",Delhi,,2018-08-10,Not disclosed
S&P Global Inc.,5-9 yrs,,https://www.naukri.com/job-listings-Senior-Director-Internal-Audit-Data-Analytics-and-IT-Audit-S-P-Global-Inc-Gurgaon-5-to-9-years-170818500193?src=jobsearchDesk&sid=15390171254888&xp=24&px=11,"Senior-Director-Internal-Audit,-Data-Analytics-and-IT-Audit","Manager Internal Audit, Data analytics, Senior Director, Risk assessment...",Gurgaon,,2018-08-17,Not disclosed
